id,Name,tag1,tag2,tag3,tag4,tag5
0,(주)교보문고,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
1,1m아트홀,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
2,2018 평창동계올림픽대회 및 동계패럴림픽대회 기념관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
3,2·28 민주운동기념회관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
4,40계단 문화관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
5,6.25 전쟁체험전시관,"('wood', 0.039495364)","('ecoregion', 0.033855308)","('architecture', 0.032606564)","('asphalt', 0.0298899)","('tent', 0.028096568)"
6,63아트,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
7,93뮤지엄,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
8,aA 디자인 뮤지엄,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
9,aT센터(에이티센터),"('wood', 0.039495364)","('ecoregion', 0.033855308)","('architecture', 0.032606564)","('asphalt', 0.0298899)","('tent', 0.028096568)"
10,C 아트뮤지엄(숲속의 미술공원),"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
11,CECO 창원컨벤션센터,"('wood', 0.039495364)","('ecoregion', 0.033855308)","('architecture', 0.032606564)","('asphalt', 0.0298899)","('tent', 0.028096568)"
